2024-01-12 11:59:38.709 [main] INFO  SQL dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2024-01-12 11:59:39.543 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2024-01-12 11:59:39.551 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-01-12 11:59:41.303 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-01-12 11:59:42.169 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2024-01-12 11:59:42.169 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-01-12 11:59:42.171 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 2 ms
2024-01-12 11:59:42.331 [main] INFO  o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration - Eureka HTTP Client uses RestTemplate.
2024-01-12 11:59:42.503 [main] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2024-01-12 11:59:42.542 [main] INFO  c.e.r.a.ApplicationControllerTest - Started ApplicationControllerTest in 7.375 seconds (process running for 8.551)
2024-01-12 11:59:42.738 [scheduling-1] INFO  c.e.r.service.SchedulerService - rent-apartment :checkValidUserToken -> started
2024-01-12 11:59:42.760 [scheduling-1] INFO  c.e.r.service.SchedulerService - rent-apartment :checkValidUserToken -> end
2024-01-12 11:59:43.028 [SpringApplicationShutdownHook] INFO  o.s.c.n.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2024-01-12 11:59:43.030 [SpringApplicationShutdownHook] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Unregistering application RENT-APARTMENT with eureka with status DOWN
2024-01-12 11:59:43.034 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-01-12 11:59:43.037 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-01-12 11:59:43.047 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-01-12 12:03:02.277 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 7.0.4.Final
2024-01-12 12:03:02.348 [main] INFO  c.e.r.a.ApplicationControllerTest - Starting ApplicationControllerTest using Java 17.0.8 with PID 16976 (started by kkoro in C:\Users\kkoro\IdeaProjects\rent-service-apartment\rent-apartment)
2024-01-12 12:03:02.350 [main] INFO  c.e.r.a.ApplicationControllerTest - No active profile set, falling back to 1 default profile: "default"
2024-01-12 12:03:03.267 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-01-12 12:03:03.422 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 145 ms. Found 9 JPA repository interfaces.
